AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous
Goat,abortion on late pregancy,stillbirth,retained placenda,endomeritis,decrease appetite,Yes
Goat,paresis,paralysis,weakness,stomach cramps,diarrhea,Yes
Goat,fever,diarrhea,swelling,weight loss,pain,Yes
Goat,fever,hemolytic anemia,hemoglobinuria,pulmonary congestion,jaundice,Yes
Goat,abortion,mummification,stillbirth,weak kids,pain,Yes
Goat,runny nose,difficulty in breathing,coughing,weakness,loss of appettite,Yes
Goat,fever,nasal discharge,respiratory distress,pox lesion,pain,Yes
Goat,fever,dark colored bloody,incoordination,difficulty in breathing,terminal convulsion,Yes
Goat,fever,dysentery,swelling,immediate death,pain,Yes
Goat,fever,respiratory distress,mucous discharge,reduce feed,weight gain,Yes
Goat,decreased milk,holding limbs off the ground,weight loss,lameness,wool production,Yes
Goat,swelling of udder,change in milk,swollen,tender to touch,pain,Yes
Goat,fever,respiratory distress,occular discharge,mouth lesion,nasal discharge,Yes
Goat,fever,wound lesion,excess salivary,difficult in walking,pain,Yes
Goat,emaciation,edema in lower jaw,coughing,shivering,anemia,Yes
Goat,fever,reduce growth,kid moratality,weakness,dullness,Yes
Goat,fever,reduce growth,edema in lower jaw,weight loss,anemia,Yes
Goat,emaciation,diarrhea,kid moratality,weakness,anemia,Yes
Goat,skinallergy,reduce growth,wound,head ache,dizziness,Yes
Goat,watering of eyes,redness of white of the eye,swelling of eyelid,cornea become cloudy,tear production,Yes
Goat,berberi,wasting,nervous,weight loss,anorexia,Yes
Goat,gastritis,morbidity,bloody,mortality,anemia,Yes
Deer,fever,severe headache,vomiting,coughing,fatique,Yes
Deer,fever,tiredness,swollen kidney,hematuria,muscle aches,Yes
Deer,fever,diarrhea,decreased appetite,vomiting,bloody,Yes
Deer,gas,diarrhea,abdominal discomfort,vomiting,nausea,Yes
Deer,drooping ears,lack of coordination,drooling,wasting,listlessness,Yes
Poultry,edema,diarrhea,nasal discharge,decresed egg production,sneezing,Yes
Poultry,drooping wings,depression,nasal discharge,coughing,greenish diarrhea,No
Poultry,weakness,yellow or green dropping,purplish combs,wattles,drop on egg production,No
Poultry,neck paralysis,diarrhea,ruffled feathers,labored breathing,weakness,No
Poultry,facial swelling,lacrimation,diarrhea,anorexia,nasal discharge,No
Poultry,loss of appetite,depression,paralyzed leg,weight loss,anemia,No
Poultry,dejection,loss of appetite,slow growth,diarrhea,lesion,No
Poultry,severe swellimg,heavy breathing,diarrhea,weight loss,pain,No
Poultry,weakness,diarrhea,high moratality,dehydration,anorexia,No
Monkey,fever,hepatitis,skin rashes,weight loss,pain,No
Monkey,sneezing,epistaxis,coughing,difficulty in breathing,nasal discharge,No
Monkey,sneezing,unilateral nasal discharge,gagging,retching,weight loss,Yes
Monkey,fever,depression,coughing,weight loss,anorexia,Yes
Monkey,shallow breathing,halitosis,coughing,lethargy,nasal discharge,Yes
Monkey,dyspnea,sneezing,coughing,difficulty in breathing,infection,Yes
Monkey,dyspnea,sneezing,coughing,difficulty in breathing,pain,Yes
Monkey,fever,rhinorrhea,coughing,sneezing,dehydration,Yes
Monkey,fever,rhinorrhea,coughing,facial edema,dyspnea,Yes
Monkey,fever,rhinorrhea,coughing,sneezing,nasal discharge,Yes
Monkey,mortality,painfull,coughing,weight loss,nasal discharge,Yes
Monkey,skin rashes,diarrhea,death,facial edema,pain,Yes
Monkey,fever,dyspnea,coughing,lethargy,weightloss,Yes
Monkey,fever,dyspnea,coughing,weakness,anorexia,Yes
Monkey,facial edema,dyspnea,conjuctivtis,weakness,pharyngitis,Yes
Monkey,fever,pneumonia,congestion,lethargy,nasal discharge,Yes
Monkey,fever,death,coughing,weight loss,nasal discharge,Yes
Monkey,sneezing,convulsion,seizures,weight loss,nasal discharge,Yes
Monkey,fever,death,coughing,dyspnea,anorexia,Yes
Monkey,dyspnea,difficulty in breathing,coughing,lethargy,nasal discharge,Yes
Monkey,air sacculitis,halitosis,coughing,enteritis,weight loss,Yes
Monkey,fever,convulsion,sudden death,urine retention,weight loss,Yes
Monkey,dyspnea,neurologic sign,coughing,depression,anorexia,Yes
Monkey,fever,dyspnea,coughing,lethargy,anorexia,Yes
Monkey,labored breathing,dyspnea,coughing,depression,anorexia,Yes
Monkey,blood from mouth,diarrhea,coughing,lethargy,weight loss,Yes
Monkey,hemopytsis,diarrhea,asymptomatic,death,epistaxis,Yes
Monkey,restlessness,weakness,blue straws,death,pain,Yes
Poultry,stripped remiges,less feather growth,ruffled feathers,defienciency in vitamin,diarrhea,Yes
Poultry,apathy,depression,dilation of duodenum,cloacal pasting,congestion,Yes
Poultry,lepatomegaly,splenomegaly,vomiting,swollen,shaking oh head,Yes
Poultry,balance problem,abdominal destention,neck paralysis,weight loss,pains,Yes
Poultry,legness,paresis,coughing,weight loss,shortness of breath,Yes
Poultry,fever,sour throat,mortality,muscle aches,abnormalities,Yes
Poultry,difficulty in feeding,preening,weakness,beak overgrowth,anemia,Yes
Poultry,fever,loss of appetite,ear infection,depression,nasal discharge,Yes
Poultry,forthy eye,torticollis,weakness,swelling,emaciation,Yes
Poultry,inappentence,diarrhea,tremors of the head,dehydration,weight loss,Yes
Poultry,lack of walking,lack of flying,roughened,dehydration,pains,Yes
Poultry,skin rashes,small and yellow bumps,swelling,dry scabs,lameness,Yes
Poultry,scabs on feet,redness,trachea,thickening of skin,pains,Yes
Poultry,enlarged thymus,obstructed lungs,lethargy,skin rashes,weight loss,Yes
Poultry,fluffed feather,loss of appetite,coughing,vomiting,snoring,Yes
Poultry,fever,difficultty in breathing,yellow eye,sneezing,diphtherictic,Yes
Poultry,heavy breathing,yellow in beak,tail_bobbing,weakness,sleeping excessively,Yes
Poultry,puffed_up feather,less eat,headache,half-closed eye,seizures,Yes
Poultry,fever,diarrhea,swollen abdomen,vomiting,difficulty in breathing,Yes
Poultry,tail wagging,straining,lethargy,weakness,diarrhea,Yes
Poultry,overweight,loss of appetite,ruffled feathers,depression,diarrhea,Yes
Poultry,dejection,loss of appetite,stress,coughing,pains,Yes
Poultry,skin infection,secondary infection,coughing,depression,shaking oh head,Yes
Poultry,discharge from eyes,lethargy,coughing,sneezing,fatique,Yes
Poultry,fever,chills,retarded growth,chest pain,chest pain,Yes
Poultry,pale comb,lame,death,swolling of joint,eye closed,Yes
Poultry,lethargy,loss of appetite,difficulty in swallowing,weakness,vision problem,Yes
Poultry,emaciation,difficulty in breathing,vomiting,weakness,diarrhea,Yes
Poultry,liquid dropping,exhaustion,ataxia,lethargy,seizures,Yes
Poultry,undigested in their feces,loss of appetite,loss of pigment,weakness,bloody in feather,Yes
Poultry,sharp feather,clubbed feather,eye disharge,loss of powder down,diarrhea,Yes
Poultry,ruffled appearance,loss of appetite,vomiting,green dropping,nasal discharge,Yes
Poultry,sinuses,swollen eyelids,skin rashes,sneezing,misshapen beak,Yes
Poultry,feather loss,feather plucking,coughing,itching,nasal discharge,Yes
Poultry,watery eyes,eye closed,weight loss,sneezing,nervous issue,Yes
Poultry,bony lesion,skin rashes,ataxia,anorexia,weakness,Yes
Poultry,tremor of head and neck,blindness,kicking at the belly,exercise in tolerance,pains,Yes
Sheep,swollen belly,dullness,discharge,urination,lying down,Yes
Sheep,fever,dullness,depression,weight loss,anorexia,Yes
Sheep,fever,succumb,spread of infection,weight loss,anorexia,Yes
Sheep,signs in rams,signs in ewe,underdeveloped muscles,semen examination,reduce lamp marking,Yes
Sheep,spines,unusally thin,weakness,enlarged skulls,weakness,Yes
Sheep,discharge,sudden abortion,hemoglobinuria,death of lamb,weight loss,Yes
Sheep,fever,hemolytic anemia,sweats,congestion,jaundice,Yes
Sheep,fever,tiredness,loss of appetite,muscle aches,chest pain,Yes
Sheep,excess salivation,diarrhea,depression,nasal discharge,weakness,Yes
Sheep,fever,diarrhea,incoordination,abortion,blood poisioning,Yes
Sheep,fever,wasting,dehydration,deability,weakness,Yes
Sheep,fever,diarrhea,muscle twiching,lameness,weight loss,Yes
Sheep,teeth griding,apathy,dehydration,ruminal stasis,watery faeces,
Sheep,fever,depression,lying down,weak pulse,colic,Yes
Sheep,swelling,lameness,hyperaestesia,hock joint,weight loss,Yes
Sheep,head tilt,circling,muscles ache,blindness,seizures,Yes
Sheep,decreased growth of bone,depression,grunting,lameness,weight loss,Yes
Sheep,swollen left abdomen,lying down,staggering,urination,extension of neck,Yes
Sheep,cessation of eructation,difficulty in breathing,depression,anorexia,colic,Yes
Sheep,fever,excession salivation,abnormal conformation,ulcerated muscle,ulcerated ear,Yes
Sheep,barren ewes,abortion,poor conformation,hairy fleeces,weight loss,Yes
Sheep,tremor,viability,coughing,anorexia,weight loss,Yes
Sheep,fever,tachypea,swelling of head and neck,anorexia,nasal discharge,Yes
Sheep,lllthrift,skin lesion,lameness,swelling on thebody,weight loss,Yes
Sheep,swelling,heat,flank,pain,nasal discharge,Yes
Sheep,fever,loss of appetite,lameness,rump,weight loss,Yes
Sheep,fever,swelling,loss of appetite,anorexia,weight loss,Yes
Sheep,fever,diarrhea,bloody droping,abdominal discomfort,lethargy,Yes
Sheep,fever,depression,small intestines,death,flock moratality,Yes
Sheep,haemorrhage,straw colored,abdominal pain,death,carcass decomposes,Yes
Sheep,bloody diarhhea,depression,dullness,death,weakness,Yes
Sheep,reluctant move,loss of appetite,lameness,death,weakness,Yes
Sheep,fever,depression,loss of appetite,loss of appetite,pains,Yes
Sheep,fever,difficulty in breathing,lethargy,death,pains,Yes
Sheep,poor wool,loss of appetite,lameness,small size,poor body condition,Yes
Sheep,poor immune function,achomotrica,dehydration,death,pains,Yes
Sheep,abdominal pain,diarrhea,malpresentation,shock,anorexia,Yes
Sheep,fetopelvic dispropotion,uteria inertia,despression,death,pains,Yes
Sheep,watery diarrhea dispropotion,sick,corneal ulceration,loss of appetite,death,Yes
Sheep,severe kerititis,conjunctive,discharge,iris prolapse,loss of eye,Yes
Sheep,swollen,testical pain,itches,bloody discharge,tenderness,Yes
Sheep,fever,diarrhea,depression,scratches,weight loss,Yes
Sheep,foul smelling,dullness,dirty,stained wool,tail shaking,Yes
Sheep,sheep often bites,fleece become thin,loss of wool,death,pains,Yes
Sheep,fever,dullness,dullness,skin rashes,pains,Yes
Sheep,fever,difficulty in breathing,rub,coughing,sneezing,Yes
Sheep,restlessness,kick,lethargy,nible at their wool,scratching,Yes
Sheep,jaundice,loss of appetite,rough hair coat,coughing,death,Yes
Sheep,fever,reduce reproductive potential,agalactia,loss of milk production,sloughing of the tail,Yes
Sheep,pyrexia,oral lesion,swelling,lameness,death,Yes
Sheep,red skin,loss of appetite,moist,lameness,pains,Yes
Sheep,limping,skin colour change,flabby,raw,sensitive to touch,Yes
Sheep,groosly enlarged,skin may thicken,convulsion,edematous,pains,Yes
Sheep,hyperexcitability,muscular spasms,gums,death,pains,Yes
Sheep,decreased eyelid,very cold skin,lethargy,lip,fever,Yes
Sheep,fever,diarrhea,muscus,weight loss,death,Yes
Sheep,foul smelling,diarrhea,colic,bloody discharge,blood clots,Yes
Sheep,inability to digest,diarrhea,dehydration,weight loss,anemia,Yes
Sheep,fever,diarrhea,pot belly,death,loss of appettite,Yes
Sheep,emaciation,diarrhea,coughing,weight loss,death,Yes
Sheep,respiratory distress,diarrhea,death,reduce milk,weight loss,Yes
Sheep,lllthrift,bottle jaw,strange behaviour,aneamia,jaundice,Yes
Sheep,fever,lameness,wasting,blindness,staggering,Yes
Sheep,fever,diarrhea,clearly unthrifty,weight loss,good appetite,Yes
Sheep,fever,dullness,relunctance to walk,infected navels,pains,Yes
Sheep,tenderness,foot hot,facial paralysis,weight loss,pains,Yes
Sheep,fever,lack of coordination,painfull to touch,circling,depression,Yes
Sheep,swollen,warm,constipation,depression,bloody,Yes
Sheep,fever,loss of appetite,stumbling,restlessness,pains,Yes
Sheep,unsteady gait,twitching,blindness,swelling on joints,pains,Yes
Sheep,fever,ulcer,scabs,discharge from eye,pains,Yes
Sheep,smell of ammonia,ulcer,depression,swelling,pains,Yes
Sheep,fever,lethargy,blindness,inappentence,increased in breathing,Yes
Sheep,wandering,circling,blindness,head pressing,recumbency,Yes
Sheep,tremors,lying on the side,difficulty in swallowing,death,not eating,Yes
Sheep,fever,difficulty in breathing,coughing,sneezing,seizures,Yes
Sheep,swelling,loss of appetite,wool loss,tears,death,Yes
Sheep,wool is clumped,feels stiff,staggering,skin rashes,pains,Yes
Sheep,swaying,behaviour change,tremor,jerky limb movements,pains,Yes
Sheep,cell damage,behaviour change,weight loss,pruritis,death,Yes
Sheep,swelling,discomfort,difficulty in rising,death,pains,Yes
Sheep,swollen,hot joints,pustulses,difficulty in walk,pains,Yes
Sheep,formation of vesicles,nostrils,abnormally long leg,scabs on lip,pains,Yes
Sheep,skeleten abnormalities,facial defects,hair loss,flat ribs,underdeveloped muscles,Yes
Sheep,wether restless,kicking,normal appetite,attempt to urinate,pains,Yes
Sheep,inability to stand,pains to walk,depression,weakness,stiffness,Yes
Sheep,fever,succumb,sluggish,anorexia,pains,Yes
Sheep,listless,bottle jaw,malpresentation,death,oxygen defiency,Yes
Sheep,fever,swelling,bloody,death,anemia,Yes
Sheep,thivk skin,crusty,scaly skin,lesion,pains,Yes
Sheep,fever,abortion,vomiting,weight loss,anorexia,Yes
Sheep,dizzines,anemia,vomiting,head ache,nausea,Yes
Sheep,fever,wool loss,swelling,weight loss,pains,Yes
Sheep,tear production,anversion to light,bluish white opacity,blindness,pains,Yes
Sheep,fever,swelling,lameness,heat,pains,Yes
Sheep,skin color change,crusty,scaly skin,irritation,blister,Yes
Sheep,radip onset,stiff,muscle trembling,weakness,death,Yes
Sheep,head shking,discharge from ear,scartching ear,odor to ear,redness on ear,Yes
Sheep,discharge from eyes,redness of eye,blindness,scartches,pains,Yes
Sheep,fever,loss of appetite,scartches,death,pains,Yes
Sheep,discomfort,loss of appetite,bloody diarrhea,profuse,pains,Yes
Sheep,swelling,larynx,swelling on jaw,hoarseness,neck vein swelling,Yes
Sheep,inflammation,discomfort,kicking at the belly,urine infection,pains,Yes
Sheep,isolation from flock,stealing,nesting behaviour,pawing at bedding,pains,Yes
Sheep,listless,difficulty in walking,grinding of teeth,blindness,ataxia,Yes
Sheep,bluish white opacity,aversion to light,tear produce,blindness,weakness,Yes
Sheep,head tossing,wool loss,fast breathing,bleeding wounds,skin issue,Yes
Pig,coughing,panting,"facial swelling,",production of mucus,fatigue,Yes
Poultry,cough,sneeze,droopy wings,twisted neck,droopy wings,Yes
Poultry,shortness of breath.,fatigue,chirping,loss of appetite,swollen abdomen,Yes
Other birds,gasping,coughing,mild weakness,droopy wings,twisted neck,Yes
Pig,excessive blood loss,dizziness and fainting,blurry vision,watery eyes,slow growth,Yes
Poultry,nosebleed,trauma,mild weakness,nose picking,dry air,Yes
Poultry,bleeding from other parts of the body,confusion,nasal discharge,loss of alertness,dizziness and fainting,Yes
Other birds,bad breath,pawing at the face or nose,cough,sneezing,bleeding from the nose,Yes
Poultry,extending its neck,gasping for air,gasping for breath,difficulty swallowing,gasping for breath,Yes
Poultry,difficulty swallowing,cough,difficulty swallowing,gasping for air,extending its neck,Yes
Other birds,cough,gasping for air,weight loss,gasping for breath,extending its neck,Yes
Pig,weakness,decreased stool production,distended stomach,heavy breathing,restless movement,Yes
Poultry,eye redness,frequent eye infections,crusty eye lashes and matting of eyelashes,foul smelling stools,increased passing gas,Yes
Poultry,excessive eye watering,eye redness,weakness,mucus discharge from the eye,frequent eye infections,Yes
Other birds,sudden death,loss of appetite,rapid heartbeats,fluffed feathers,lack of vocalizations,Yes
Poultry,unable to urinate,lightheadedness,droopiness,rectal bleeding,swollen abdomen,Yes
Poultry,extreme thirst,bloody discharge,loss of appetite,inability to fly,loss of wariness,Yes
Other birds,egg production stops,broody behavior,loss of appetite,weight loss,constipation,Yes
Poultry,nausea,vomiting,loss of appetite,experiencing changes in weight,pain and bloating,Yes
Poultry,burning ache or pain,vomiting,loss of appetite,experiencing changes in weight,pain and bloating,Yes
Other birds,continuous loss of weight,regurgitation of food,wheezing,excessive food intake,undigested seeds,Yes
Snake,loss of appetite,lathargy,abortion,gurgling sound,depression,Yes
Horse,fever,mild colic,loss of tail tone,loss of appetite,depression,Yes
Horse,head tilt,lathargy,lathargy,urine dribbling,inability to rise,Yes
Horse,fever,loss of appetite,respiratory noise,weight loss,depression,Yes
